"country","symptoms","value"
"E","muscle_ache",84.0754846705914
"E","nasal_congestion",57.7000931668858
"E","nasal_congestion",57.7000931668858
"E","nasal_congestion",57.7000931668858
"E","nasal_congestion",57.7000931668858
"E","nausea_vomiting",30.6488258173381
"E","nausea_vomiting",30.6488258173381
"E","nausea_vomiting",30.6488258173381
"E","nausea_vomiting",30.6488258173381
"E","shortness_breath",72.8643093284104
"E","shortness_breath",72.8643093284104
"E","shortness_breath",72.8643093284104
"E","sore_throat",59.8268997390642
"E","sore_throat",59.8268997390642
"E","sore_throat",59.8268997390642
"E","sore_throat",59.8268997390642
"E","sputum",57.1538391069003
"E","sputum",57.1538391069003
"E","sputum",57.1538391069003
"E","sputum",57.1538391069003
"E","temperature",42.9462067625107
"E","temperature",42.9462067625107
"E","temperature",42.9462067625107
"E","temperature",42.9462067625107
