"Symptom","Country","Location","lat","lon","n"
"Shortness of breath","India","Naja",NA,NA,1
"Shortness of breath","India","Newport gwent",51.584151,-2.997664,1
"Shortness of breath","Pakistan","Islamabad",33.6844202,73.0478848,1
"Shortness of breath","United Kingdom","Berwick-upon-Tweed",55.770242,-2.005395,1
"Shortness of breath","United Kingdom","Birmingham",33.5185892,-86.8103567,2
"Shortness of breath","United Kingdom","Blackburn",36.3731162,-96.5961392,1
"Shortness of breath","United Kingdom","Boddam. Peterhead",57.470373,-1.779524,1
"Shortness of breath","United Kingdom","Buckinghamshire",51.8072204,-0.8127664,1
"Shortness of breath","United Kingdom","Redcar",54.5974636,-1.0779515,1
"Shortness of breath","United Kingdom","stoneyburn",55.8439435,-3.6407746,1
"Sore throat","Bangladesh","Dhaka",23.810332,90.4125181,1
"Sore throat","Bangladesh","Mymensingh",24.7471492,90.4202734,1
"Sore throat","India","A",37.09024,-95.712891,1
"Sore throat","India","Agra",27.1766701,78.0080745,1
"Sore throat","India","Betul",21.9011601,77.8960201,1
"Sore throat","India","Bhubaneswar",20.2960587,85.8245398,1
"Sore throat","India","D",37.09024,-95.712891,1
"Sore throat","India","Dh",NA,NA,1
"Sore throat","India","Goa",15.2993265,74.123996,1
"Sore throat","India","Gwalior",26.2182871,78.1828308,1
"Sore throat","India","Hyderabad",17.385044,78.486671,2
"Sore throat","India","Jaipur",26.9124336,75.7872709,1
"Sore throat","India","Kolkata",22.572646,88.363895,1
"Sore throat","India","Lucknow",26.8466937,80.946166,1
"Sore throat","India","Mumbai",19.0759837,72.8776559,2
"Sore throat","India","Navi mumbai",19.0330488,73.0296625,1
"Sore throat","India","Newport gwent",51.584151,-2.997664,1
"Sore throat","Pakistan","Karachi",24.8607343,67.0011364,2
"Sore throat","Pakistan","Lahore",31.5203696,74.3587473,2
"Sore throat","Pakistan","Psh",NA,NA,1
"Sore throat","Pakistan","Rawalpindi",33.5651107,73.0169135,1
"Sore throat","United Kingdom","Basildon",51.576084,0.488736,1
"Sore throat","United Kingdom","Berwick-upon-Tweed",55.770242,-2.005395,1
"Sore throat","United Kingdom","Birmingham",33.5185892,-86.8103567,1
"Sore throat","United Kingdom","Blackburn",36.3731162,-96.5961392,1
"Sore throat","United Kingdom","Norwich",41.5242649,-72.0759105,1
"Sore throat","United Kingdom","Redcar",54.5974636,-1.0779515,1
"Sore throat","United Kingdom","Stafford",29.6160671,-95.5577221,1
"Sore throat","United Kingdom","Wisbech",52.666317,0.158797,1
"Sputum","Bangladesh","Mymensingh",24.7471492,90.4202734,1
"Sputum","India","Agra",27.1766701,78.0080745,1
"Sputum","India","Betul",21.9011601,77.8960201,1
"Sputum","India","Delhi",28.7040592,77.1024902,2
"Sputum","India","Ghaziabad",28.6691565,77.4537578,1
"Sputum","India","Gurgaon",28.4594965,77.0266383,1
"Sputum","India","Gwalior",26.2182871,78.1828308,1
"Sputum","India","Howrah",22.5957689,88.2636394,1
"Sputum","India","Kumasi",6.6666004,-1.6162709,1
"Sputum","India","mumbai",19.0759837,72.8776559,1
"Sputum","India","Nairobi",-1.2920659,36.8219462,1
"Sputum","India","Naja",NA,NA,1
"Sputum","India","Navi mumbai",19.0330488,73.0296625,1
"Sputum","India","Virar",19.4563596,72.7924612,1
"Sputum","Pakistan","Kahror pacca",29.6437628,71.9164217,1
"Sputum","Pakistan","Karachi",24.8607343,67.0011364,1
"Sputum","Pakistan","Lahore",31.5203696,74.3587473,1
"Sputum","Pakistan","Rawalpindi",33.5651107,73.0169135,1
"Sputum","United Kingdom","Basildon",51.576084,0.488736,1
"Sputum","United Kingdom","Berwick-upon-Tweed",55.770242,-2.005395,1
"Sputum","United Kingdom","Birmingham",33.5185892,-86.8103567,2
"Sputum","United Kingdom","Boddam. Peterhead",57.470373,-1.779524,1
"Sputum","United Kingdom","Buckinghamshire",51.8072204,-0.8127664,1
"Sputum","United Kingdom","Exeter",32.8996787,-96.9821243,1
"Sputum","United Kingdom","Liverpool",32.6564981,-115.4763241,1
"Sputum","United Kingdom","Redcar",54.5974636,-1.0779515,1
"Sputum","United Kingdom","Stafford",29.6160671,-95.5577221,1
